,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
83,0.283,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,0.785,150043,0.554,7lAK3oHbfEnvUQWosrMMpR,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,audio_features,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.144,88
84,0.0651,https://api.spotify.com/v1/audio-analysis/6CyJlVAEFlNdpggOLanytL,0.434,185440,0.831,6CyJlVAEFlNdpggOLanytL,0.0,8,0.119,-4.774,1,0.0453,156.034,4,https://api.spotify.com/v1/tracks/6CyJlVAEFlNdpggOLanytL,audio_features,spotify:track:6CyJlVAEFlNdpggOLanytL,0.596,76
85,0.75,https://api.spotify.com/v1/audio-analysis/2ZYbPXhx4OCmdTsMThbSEW,0.629,195053,0.464,2ZYbPXhx4OCmdTsMThbSEW,0.0,4,0.0853,-8.72,1,0.0334,156.051,4,https://api.spotify.com/v1/tracks/2ZYbPXhx4OCmdTsMThbSEW,audio_features,spotify:track:2ZYbPXhx4OCmdTsMThbSEW,0.523,75
86,0.00947,https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m,0.487,270715,0.789,7wBJfHzpfI3032CSD7CE2m,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m,audio_features,spotify:track:7wBJfHzpfI3032CSD7CE2m,0.0564,92
87,0.172,https://api.spotify.com/v1/audio-analysis/7ATATJztoWLcqDAcVVof0C,0.635,217822,0.902,7ATATJztoWLcqDAcVVof0C,0.0,0,0.125,-3.559,1,0.109,102.063,4,https://api.spotify.com/v1/tracks/7ATATJztoWLcqDAcVVof0C,audio_features,spotify:track:7ATATJztoWLcqDAcVVof0C,0.286,94
88,0.0414,https://api.spotify.com/v1/audio-analysis/29tc0GbW0pTSBZSCZF3NWk,0.665,175755,0.651,29tc0GbW0pTSBZSCZF3NWk,0.0,1,0.0896,-5.515,1,0.156,163.935,4,https://api.spotify.com/v1/tracks/29tc0GbW0pTSBZSCZF3NWk,audio_features,spotify:track:29tc0GbW0pTSBZSCZF3NWk,0.237,89
89,0.367,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,0.52,345133,0.538,5bJ1DrEM4hNCafcDd1oxHx,0.00187,1,0.119,-8.109,1,0.206,141.894,4,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,audio_features,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,0.177,88
90,0.183,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,0.652,263014,0.678,6Hgh47WXVKtXN5zGOu0hjI,3.26e-05,2,0.106,-6.183,1,0.0541,72.989,4,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,audio_features,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.28,87
91,0.0886,https://api.spotify.com/v1/audio-analysis/0PpfPNtQOOvbMNVJijTQj0,0.796,190466,0.68,0PpfPNtQOOvbMNVJijTQj0,0.0,10,0.268,-4.853,0,0.353,164.932,4,https://api.spotify.com/v1/tracks/0PpfPNtQOOvbMNVJijTQj0,audio_features,spotify:track:0PpfPNtQOOvbMNVJijTQj0,0.565,75
92,0.193,https://api.spotify.com/v1/audio-analysis/5sIx4BlfYGuZeSLF40N9GH,0.685,217287,0.508,5sIx4BlfYGuZeSLF40N9GH,0.0,0,0.139,-6.4,1,0.0987,99.063,4,https://api.spotify.com/v1/tracks/5sIx4BlfYGuZeSLF40N9GH,audio_features,spotify:track:5sIx4BlfYGuZeSLF40N9GH,0.315,84
93,0.0716,https://api.spotify.com/v1/audio-analysis/2VX37A1p7tkvrH2UJwAU0T,0.711,208733,0.796,2VX37A1p7tkvrH2UJwAU0T,0.0045,10,0.262,-5.87,1,0.0341,109.991,4,https://api.spotify.com/v1/tracks/2VX37A1p7tkvrH2UJwAU0T,audio_features,spotify:track:2VX37A1p7tkvrH2UJwAU0T,0.901,74
94,0.0311,https://api.spotify.com/v1/audio-analysis/2jt2WxXMCD4zjACthkJQVE,0.939,337941,0.551,2jt2WxXMCD4zjACthkJQVE,0.0,1,0.192,-9.126,1,0.291,118.552,4,https://api.spotify.com/v1/tracks/2jt2WxXMCD4zjACthkJQVE,audio_features,spotify:track:2jt2WxXMCD4zjACthkJQVE,0.42,92
95,0.186,https://api.spotify.com/v1/audio-analysis/2VdT56BGpdqNHUgOe1j5vc,0.601,206453,0.59,2VdT56BGpdqNHUgOe1j5vc,0.0,2,0.0942,-5.001,1,0.0569,151.952,4,https://api.spotify.com/v1/tracks/2VdT56BGpdqNHUgOe1j5vc,audio_features,spotify:track:2VdT56BGpdqNHUgOe1j5vc,0.274,82
96,0.016,https://api.spotify.com/v1/audio-analysis/0B08s1tLWCXoFmGP0vIubM,0.698,264853,0.783,0B08s1tLWCXoFmGP0vIubM,0.0,2,0.176,-6.503,1,0.266,160.034,4,https://api.spotify.com/v1/tracks/0B08s1tLWCXoFmGP0vIubM,audio_features,spotify:track:0B08s1tLWCXoFmGP0vIubM,0.378,53
97,0.307,https://api.spotify.com/v1/audio-analysis/7IBSffWIu7P2MC7kMwy2FM,0.877,226743,0.477,7IBSffWIu7P2MC7kMwy2FM,0.0,9,0.0929,-7.379,0,0.0587,127.023,4,https://api.spotify.com/v1/tracks/7IBSffWIu7P2MC7kMwy2FM,audio_features,spotify:track:7IBSffWIu7P2MC7kMwy2FM,0.552,84
98,0.0441,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,0.737,222653,0.636,6kPJZM97LwdG9QIsT7khp6,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,audio_features,spotify:track:6kPJZM97LwdG9QIsT7khp6,0.565,95
99,0.315,https://api.spotify.com/v1/audio-analysis/1s2B5cndbqK8rPJEIcKJRQ,0.754,176133,0.805,1s2B5cndbqK8rPJEIcKJRQ,0.0,6,0.203,-4.249,1,0.0752,93.983,4,https://api.spotify.com/v1/tracks/1s2B5cndbqK8rPJEIcKJRQ,audio_features,spotify:track:1s2B5cndbqK8rPJEIcKJRQ,0.555,93
